obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3788278089.2,4,31.4325008392,3788642834.25,3788642840.68,3788278089.2,0.0,internal_timestamp,2640.63989258,199550,1579289289,1.82490003109,3.14325008392,34.6153672792,1039.80404418,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('1',)",3788278091.54,4,31.4326000214,3788642834.25,3788642840.68,3788278091.54,0.0,internal_timestamp,2640.70996094,536275,1579289291,1.8248000145,3.14326000214,34.6155626041,1039.80452333,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('2',)",3788278093.84,4,31.4328994751,3788642834.25,3788642840.69,3788278093.84,0.0,internal_timestamp,2640.65991211,841806,1579289293,1.8248000145,3.14328994751,34.6159537779,1039.80460616,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('3',)",3788278096.25,4,31.432800293,3788642834.25,3788642840.69,3788278096.25,0.0,internal_timestamp,2640.66992188,254498,1579289296,1.82490003109,3.1432800293,34.6157208104,1039.80445419,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('4',)",3788278098.54,4,31.4326992035,3788642834.25,3788642840.69,3788278098.54,0.0,internal_timestamp,2640.64990234,538382,1579289298,1.82490003109,3.14326992035,34.6156061106,1039.8042754,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('5',)",3788278100.85,4,31.4328994751,3788642834.25,3788642840.69,3788278100.85,0.0,internal_timestamp,2640.68994141,845687,1579289300,1.82509994507,3.14328994751,34.6156203093,1039.80443585,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('6',)",3788278103.24,4,31.432800293,3788642834.25,3788642840.69,3788278103.24,0.0,internal_timestamp,2640.65991211,239055,1579289303,1.82490003109,3.1432800293,34.6157255156,1039.80441329,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('7',)",3788278105.55,4,31.4328994751,3788642834.25,3788642840.69,3788278105.55,0.0,internal_timestamp,2640.66992188,546208,1579289305,1.82490003109,3.14328994751,34.6158425788,1039.80454935,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('8',)",3788278107.95,4,31.432800293,3788642834.25,3788642840.69,3788278107.95,0.0,internal_timestamp,2640.68994141,951120,1579289307,1.82490003109,3.1432800293,34.6157114001,1039.80453599,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('9',)",3788278108.97,4,31.4328994751,3788642834.25,3788642840.69,3788278108.97,0.0,internal_timestamp,2640.68994141,965080,1579289308,1.82500004768,3.14328994751,34.6157266752,1039.80453344,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('10',)",3788278109.98,4,31.4326992035,3788642834.25,3788642840.69,3788278109.98,0.0,internal_timestamp,2640.63989258,978163,1579289309,1.82490003109,3.14326992035,34.6156108158,1039.8042345,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('11',)",3788278110.98,4,31.432800293,3788642834.25,3788642840.69,3788278110.98,0.0,internal_timestamp,2640.66992188,981298,1579289310,1.82490003109,3.1432800293,34.6157208104,1039.80445419,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('12',)",3788278111.99,4,31.432800293,3788642834.25,3788642840.69,3788278111.99,0.0,internal_timestamp,2640.65991211,994354,1579289311,1.82490003109,3.1432800293,34.6157255156,1039.80441329,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
